start_house_number,end_house_number,odd_even_both,start_apartment_number,end_apartment_number,non_house_address_house_number,non_house_address_house_number_prefix,non_house_address_house_number_suffix,non_house_address_street_direction,non_house_address_street_name,non_house_address_street_suffix,non_house_address_address_direction,non_house_address_apartment,non_house_address_city,non_house_address_state,non_house_address_zip,precinct_id,precinct_split_id,id
101,299,ODD,,,,,,,LONGBROOK,DR,,,ELON,NC,27244,910015,710015630,99100110095
100,198,EVEN,,,,,,,LONGDALE,DR,,,GRAHAM,NC,27253,9100115,710018377,99100110096
700,798,EVEN,,,,,,,LONGEST,ST,,,GRAHAM,NC,27253,9100114,710012678,99100110097
1200,1598,EVEN,,,,,,,LONGEST ACRES,RD,,,SNOW CAMP,NC,27349,910011,710017878,99100110098
4801,4999,ODD,,,,,,,LONNIE,LN,,,GRAHAM,NC,27253,9100117,71001984,99100110099
3401,3599,ODD,,,,,,,LONZIE FOSTER,TRL,,,ELON,NC,27244,910019,710016377,99100110100
600,898,EVEN,,,,,,,LOOP,RD,,,BURLINGTON,NC,27217,910013,71001760,99100110101
601,899,ODD,,,,,,,LOOP,RD,,,BURLINGTON,NC,27217,910013,71001760,99100110102
1000,1198,EVEN,,,,,,,LORRAINE,ST,,,GRAHAM,NC,27253,9100112,710017710,99100110103
1001,1199,ODD,,,,,,,LORRAINE,ST,,,GRAHAM,NC,27253,9100112,710017710,99100110104
1000,1298,EVEN,,,,,,,LOUIS,ST,,,BURLINGTON,NC,27217,9100134,710015349,99100110105
1001,1299,ODD,,,,,,,LOUIS,ST,,,BURLINGTON,NC,27217,9100134,710015349,99100110106
300,898,EVEN,,,,,,,LOUIS GRAHAM,RD,,,BURLINGTON,NC,27217,9100110,710017845,99100110107
301,899,ODD,,,,,,,LOUIS GRAHAM,RD,,,BURLINGTON,NC,27217,9100110,710017845,99100110108
2500,3000,EVEN,,,,,,,LOVETTE,LN,,,GRAHAM,NC,27253,9100117,71001984,99100110109
2501,3001,ODD,,,,,,,LOVETTE,LN,,,GRAHAM,NC,27253,9100117,71001984,99100110110
2400,3198,EVEN,,,,,,,LOWE,RD,,,ELON,NC,27244,910013,71001760,99100110111
2401,3199,ODD,,,,,,,LOWE,RD,,,ELON,NC,27244,910013,71001760,99100110112
1500,1620,EVEN,,,,,,,LOY,LN,,,BURLINGTON,NC,27215,910016,710014759,99100110113
1000,1498,EVEN,,,,,,,LOY,ST,,,BURLINGTON,NC,27217,9100135,710011554,99100110114
1001,1499,ODD,,,,,,,LOY,ST,,,BURLINGTON,NC,27217,9100135,710011554,99100110115
3700,3798,EVEN,,,,,,,LOYOLA,CT,,,BURLINGTON,NC,27215,9100138,710016341,99100110116
3100,3198,EVEN,,,,,,,LUCAS,ST,,,ELON,NC,27244,910019,710015749,99100110117
3101,3199,ODD,,,,,,,LUCAS,ST,,,ELON,NC,27244,910019,710015749,99100110118
3300,3398,EVEN,,,,,,,LUCILLE,DR,,,ELON,NC,27244,910019,710016377,99100110119
3301,3399,ODD,,,,,,,LUCILLE,DR,,,ELON,NC,27244,910019,710016377,99100110120
2301,2399,ODD,,,,,,,LUCK STONE,RD,,,BURLINGTON,NC,27217,9100137,710018410,99100110121
100,198,EVEN,,,,,,,LUNSFORD,DR,,,BURLINGTON,NC,27217,9100130,71001421,99100110122
101,199,ODD,,,,,,,LUNSFORD,DR,,,BURLINGTON,NC,27217,9100130,71001421,99100110123
3700,3798,EVEN,,,,,,,LUTHER,CT,,,BURLINGTON,NC,27215,9100138,710016341,99100110124
3701,3799,ODD,,,,,,,LUTHER,CT,,,BURLINGTON,NC,27215,9100138,710016341,99100110125
2401,3099,ODD,,,,,,,LYNCH STORE,RD,,,MEBANE,NC,27302,9100125,710012257,99100110126
1900,1998,EVEN,,,,,,,LYNDON,CT,,,HAW RIVER,NC,27258,9100122,710011796,99100110127
700,1098,EVEN,,,,,,,LYNDON,LN,,,HAW RIVER,NC,27258,9100122,710011796,99100110128
701,1099,ODD,,,,,,,LYNDON,LN,,,HAW RIVER,NC,27258,9100122,710011796,99100110129
1000,1198,EVEN,,,,,,,LYNN,DR,,,GRAHAM,NC,27253,9100114,710012678,99100110130
1001,1199,ODD,,,,,,,LYNN,DR,,,GRAHAM,NC,27253,9100114,710012678,99100110131
2600,2698,EVEN,,,,,,,LYNN,RD,,,BURLINGTON,NC,27215,9100132,710017169,99100110132
2601,2699,ODD,,,,,,,LYNN,RD,,,BURLINGTON,NC,27215,9100132,710017169,99100110133
101,399,ODD,,,,,,,LYNN,ST,,,ELON,NC,27244,910015,710015630,99100110134
2300,2798,EVEN,,,,,,,LYNNDALE,CT,,,MEBANE,NC,27302,9100120,710013664,99100110135
2301,2798,ODD,,,,,,,LYNNDALE,CT,,,MEBANE,NC,27302,9100120,710013664,99100110136
700,1998,EVEN,,,,,,,LYNWOOD,DR,,,BURLINGTON,NC,27215,9100126,710015124,99100110137
701,1999,ODD,,,,,,,LYNWOOD,DR,,,BURLINGTON,NC,27215,9100126,710015124,99100110138
3000,3198,EVEN,,,,,,,MACK'S CHAPEL,RD,,,ELON,NC,27244,910019,710016377,99100110139
3001,3199,ODD,,,,,,,MACK'S CHAPEL,RD,,,ELON,NC,27244,910019,710016377,99100110140
500,698,EVEN,,,,,,,MACLEAN,DR,,,GIBSONVILLE,NC,27249,910017,710011288,99100110141
501,699,ODD,,,,,,,MACLEAN,DR,,,GIBSONVILLE,NC,27249,910017,710011288,99100110142
1200,1298,EVEN,,,,,,,MACON,ST,,,BURLINGTON,NC,27217,9100130,71001421,99100110143
1201,1299,ODD,,,,,,,MACON,ST,,,BURLINGTON,NC,27217,9100130,71001421,99100110144
1002,1012,EVEN,,,,,,,MADISON,ST,,,BURLINGTON,NC,27217,9100130,71001421,99100110145
202,204,EVEN,,,,,,,MADISON,ST,,,MEBANE,NC,27302,9100124,710017654,99100110146
1600,1698,EVEN,,,,,,,MAJESTY,DR,,,BURLINGTON,NC,27217,910013,71001760,99100110147
1601,1699,ODD,,,,,,,MAJESTY,DR,,,BURLINGTON,NC,27217,910013,71001760,99100110148
1900,2598,EVEN,,,,,,,MAJOR HILL,RD,,,GRAHAM,NC,27253,9100119,710011518,99100110149
1901,2599,ODD,,,,,,,MAJOR HILL,RD,,,GRAHAM,NC,27253,9100119,710011518,99100110150
1100,1898,EVEN,,,,,,,MAJOR HILL,RD,,,SNOW CAMP,NC,27349,9100119,710011518,99100110151
1101,1899,ODD,,,,,,,MAJOR HILL,RD,,,SNOW CAMP,NC,27349,9100119,710011518,99100110152
2501,2699,ODD,,,,,,,MALCOLM,TRL,,,ELON,NC,27244,910019,710016377,99100110153
600,698,EVEN,,,,,,,MALONE,CT,,,BURLINGTON,NC,27215,9100126,710015124,99100110156
601,699,ODD,,,,,,,MALONE,CT,,,BURLINGTON,NC,27215,9100126,710015124,99100110157
1700,2298,EVEN,,,,,,,MALONE,RD,,,BURLINGTON,NC,27215,9100126,710015124,99100110158
1701,2299,ODD,,,,,,,MALONE,RD,,,BURLINGTON,NC,27215,9100126,710015124,99100110159
1400,1498,EVEN,,,,,,,MANCHESTER,LN,,,BURLINGTON,NC,27215,9100129,710017265,99100110160
1401,1499,ODD,,,,,,,MANCHESTER,LN,,,BURLINGTON,NC,27215,9100129,710017265,99100110161
8200,9298,EVEN,,,,,,,MANDALE,RD,,,GRAHAM,NC,27253,9100119,710011518,99100110162
8201,9299,ODD,,,,,,,MANDALE,RD,,,GRAHAM,NC,27253,9100119,710011518,99100110163
2800,3298,EVEN,,,,,,,MANSFIELD,RD,,,BURLINGTON,NC,27217,910019,710016377,99100110164
2801,3299,ODD,,,,,,,MANSFIELD,RD,,,BURLINGTON,NC,27217,910019,710016377,99100110165
1000,1098,EVEN,,,,,,,MAPLE RIDGE,CT,,,BURLINGTON,NC,27217,9100130,710014409,99100110166
1001,1099,ODD,,,,,,,MAPLE RIDGE,CT,,,BURLINGTON,NC,27217,9100130,710014409,99100110167
2601,2699,ODD,,,,,,,MAPLEVIEW,LN,,,BURLINGTON,NC,27217,9100125,710012257,99100110170
3200,3298,EVEN,,,,,,,MAPLEWOOD,AVE,,,MEBANE,NC,27302,9100121,710011723,99100110171
3201,3299,ODD,,,,,,,MAPLEWOOD,AVE,,,MEBANE,NC,27302,9100121,710011723,99100110172
1600,1898,EVEN,,,,,,,MARGARET,LN,,,BURLINGTON,NC,27217,9100130,71001421,99100110173
1601,1899,ODD,,,,,,,MARGARET,LN,,,BURLINGTON,NC,27217,9100130,71001421,99100110174
300,398,EVEN,,,,,,,MARION,ST,,,GRAHAM,NC,27253,9100112,710017710,99100110177
301,399,ODD,,,,,,,MARION,ST,,,GRAHAM,NC,27253,9100112,710017710,99100110178
900,998,EVEN,,,,,,,MARK,DR,,,BURLINGTON,NC,27217,9100110,710017845,99100110179
100,298,EVEN,,,,,,,MARKHAM,ST,,,BURLINGTON,NC,27215,9100136,710015740,99100110180
101,299,ODD,,,,,,,MARKHAM,ST,,,BURLINGTON,NC,27215,9100136,710015740,99100110181
3901,4199,ODD,,,,,,,MARKWOOD,DR,,,BURLINGTON,NC,27215,910012,710016528,99100110182
2201,2399,ODD,,,,,,,MARLOW,DR,,,BURLINGTON,NC,27215,9100132,710017169,99100110185
1900,2198,EVEN,,,,,,,MARTIN,ST,,,BURLINGTON,NC,27217,9100111,710012166,99100110188
1901,2199,ODD,,,,,,,MARTIN,ST,,,BURLINGTON,NC,27217,9100111,710012166,99100110189
200,798,EVEN,,,,,,,MARYLAND,AVE,,,BURLINGTON,NC,27217,9100133,710017335,99100110197
201,799,ODD,,,,,,,MARYLAND,AVE,,,BURLINGTON,NC,27217,9100133,710017335,99100110198
4300,4698,EVEN,,,,,,,MATHERLY,TRL,,,BURLINGTON,NC,27217,9100125,710012257,99100110199
2200,2298,EVEN,,,,,,,MATHIS,TRL,,,BURLINGTON,NC,27217,9100130,710014409,99100110200
600,698,EVEN,,,,,,,MATTHEW,CT,,,GRAHAM,NC,27253,9100112,710017710,99100110201
1201,1299,ODD,,,,,,,MAY,CT,,,BURLINGTON,NC,27215,9100136,710015740,99100110202
2100,2798,EVEN,,,,,,,MAY,DR,,,BURLINGTON,NC,27215,9100128,710014523,99100110203
2101,2799,ODD,,,,,,,MAY,DR,,,BURLINGTON,NC,27215,9100128,710014523,99100110204
4100,4198,EVEN,,,,,,,MAYBERRY,LN,,,BURLINGTON,NC,27215,910016,710014759,99100110205
4101,4199,ODD,,,,,,,MAYBERRY,LN,,,BURLINGTON,NC,27215,910016,710014759,99100110206
100,398,EVEN,,,,,,,MAYNARD HALL,,,,ELON,NC,27244,910013,710012825,99100110207
101,399,ODD,,,,,,,MAYNARD HALL,,,,ELON,NC,27244,910013,710012825,99100110208
4700,4798,EVEN,,,,,,,MCBANE MILL,LN,,,GRAHAM,NC,27253,9100118,710016476,99100110209
1800,2298,EVEN,,,,,,,MCCAULEY,RD,,,BURLINGTON,NC,27217,9100125,710012257,99100110210
4200,4298,EVEN,,,,,,,MCCRAY,CT,,,BURLINGTON,NC,27217,9100110,710017845,99100110211
4201,4299,ODD,,,,,,,MCCRAY,CT,,,BURLINGTON,NC,27217,9100110,710017845,99100110212
1300,1698,EVEN,,,,,,,MCCUISTON,DR,,,BURLINGTON,NC,27215,9100127,710015652,99100110213
1301,1699,ODD,,,,,,,MCCUISTON,DR,,,BURLINGTON,NC,27215,9100127,710015652,99100110214
3400,3498,EVEN,,,,,,,MCDADE,RD,,,BURLINGTON,NC,27215,9100132,710017169,99100110215
3401,3499,ODD,,,,,,,MCDADE,RD,,,BURLINGTON,NC,27215,9100132,710017169,99100110216
500,698,EVEN,,,,,,,MCGEE,ST,,,GRAHAM,NC,27253,9100113,710016331,99100110217
501,699,ODD,,,,,,,MCGEE,ST,,,GRAHAM,NC,27253,9100113,710016331,99100110218
2000,2698,EVEN,,,,,,,MCGREGOR,RD,,,MEBANE,NC,27302,9100124,710017654,99100110219
2001,2699,ODD,,,,,,,MCGREGOR,RD,,,MEBANE,NC,27302,9100124,710017654,99100110220
3600,3698,EVEN,,,,,,,MCINTYRE,RD,,,ELON,NC,27244,910019,710016377,99100110221
3601,3699,ODD,,,,,,,MCINTYRE,RD,,,ELON,NC,27244,910019,710016377,99100110222
1901,2199,ODD,,,,,,,MCKENZIE PARK,LN,,,GRAHAM,NC,27253,9100121,710011723,99100110223
1900,2998,EVEN,,,,,,,MCKINNEY,ST,,,BURLINGTON,NC,27217,9100111,710012166,99100110224
1901,2999,ODD,,,,,,,MCKINNEY,ST,,,BURLINGTON,NC,27217,9100111,710012166,99100110225
900,1198,EVEN,,,,,,,MCPHERSON,RD,,,BURLINGTON,NC,27215,910014,710012767,99100110226
901,1199,ODD,,,,,,,MCPHERSON,RD,,,BURLINGTON,NC,27215,910014,710012767,99100110227
400,798,EVEN,,,,,,,MEADOW,ST,,,GIBSONVILLE,NC,27249,910017,710011288,99100110230
401,799,ODD,,,,,,,MEADOW,ST,,,GIBSONVILLE,NC,27249,910017,710011288,99100110231
2400,2698,EVEN,,,,,,,MEADOW CREEK,LN,,,GRAHAM,NC,27253,9100121,710011723,99100110232
2401,2699,ODD,,,,,,,MEADOW CREEK,LN,,,GRAHAM,NC,27253,9100121,710011723,99100110233
1800,1998,EVEN,,,,,,,MEADOW GREEN,DR,,,GRAHAM,NC,27253,9100112,710017710,99100110234
1801,1999,ODD,,,,,,,MEADOW GREEN,DR,,,GRAHAM,NC,27253,9100112,710017710,99100110235
2600,2798,EVEN,,,,,,,MEADOW OAK,DR,,,HAW RIVER,NC,27258,9100120,710013664,99100110236
2601,2799,ODD,,,,,,,MEADOW OAK,DR,,,HAW RIVER,NC,27258,9100120,710013664,99100110237
200,398,EVEN,,,,,,,MEADOWBROOK,DR,,,BURLINGTON,NC,27215,9100116,710014068,99100110238
201,399,ODD,,,,,,,MEADOWBROOK,DR,,,BURLINGTON,NC,27215,9100116,710014068,99100110239
501,699,ODD,,,,,,,MEADOWBROOK,DR,,,ELON,NC,27244,910013,71001760,99100110240
1600,1798,EVEN,,,,,,,MEADOWOOD,LN,,,MEBANE,NC,27302,9100122,710011796,99100110243
1601,1799,ODD,,,,,,,MEADOWOOD,LN,,,MEBANE,NC,27302,9100122,710011796,99100110244
1800,1998,EVEN,,,,,,,MEADOWVIEW,DR,,,GRAHAM,NC,27253,9100112,710017710,99100110245
1801,1999,ODD,,,,,,,MEADOWVIEW,DR,,,GRAHAM,NC,27253,9100112,710017710,99100110246
1032,1034,EVEN,,,,,,,MEBANE AIRPORT,RD,,,MEBANE,NC,27302,9100124,710014533,99100110247
4000,4198,EVEN,,,,,,,MEBANE OAKS,CT,,,MEBANE,NC,27302,9100122,710011796,99100110248
4001,4199,ODD,,,,,,,MEBANE OAKS,CT,,,MEBANE,NC,27302,9100122,710011796,99100110249
2,98,EVEN,,,,,,,MEDFORD,DR,,,MEBANE,NC,27302,9100124,710017654,99100110250
1,99,ODD,,,,,,,MEDFORD,DR,,,MEBANE,NC,27302,9100124,710017654,99100110251
1401,1599,ODD,,,,,,,MEETING GROUND,RD,,,BURLINGTON,NC,27217,9100110,710017845,99100110252
2151,2499,ODD,,,,,,,MELFIELD,DR,,,HAW RIVER,NC,27258,9100120,710013664,99100110253
500,698,EVEN,,,,,,,MENDEL,TER,,,GRAHAM,NC,27253,9100114,710012678,99100110254
501,699,ODD,,,,,,,MENDEL,TER,,,GRAHAM,NC,27253,9100114,710012678,99100110255
500,798,EVEN,,,,,,,MERIDIAN,AVE,,,BURLINGTON,NC,27217,9100134,710015349,99100110256
501,799,ODD,,,,,,,MERIDIAN,AVE,,,BURLINGTON,NC,27217,9100134,710015349,99100110257
100,198,EVEN,,,,,,,MERION,CT,,,MEBANE,NC,27302,9100123,710014011,99100110258
101,199,ODD,,,,,,,MERION,CT,,,MEBANE,NC,27302,9100123,710014011,99100110259
3700,3898,EVEN,,,,,,,MERRIWEATHER,LN,,,HAW RIVER,NC,27258,9100121,710011723,99100110260
3600,3698,EVEN,,,,,,,MERTS,ST,,,HAW RIVER,NC,27258,9100121,710011723,99100110261
3601,3699,ODD,,,,,,,MERTS,ST,,,HAW RIVER,NC,27258,9100121,710011723,99100110262
800,898,EVEN,,,,,,,MIAMI,AVE,,,BURLINGTON,NC,27215,9100131,710013954,99100110263
801,899,ODD,,,,,,,MIAMI,AVE,,,BURLINGTON,NC,27215,9100131,710013954,99100110264
3700,3898,EVEN,,,,,,,MICHAEL,DR,,,HAW RIVER,NC,27258,9100121,710011723,99100110265
3701,3899,ODD,,,,,,,MICHAEL,DR,,,HAW RIVER,NC,27258,9100121,710011723,99100110266
2400,2498,EVEN,,,,,,,MICHELLE,DR,,,GREEN LEVEL,NC,27217,9100137,710012837,99100110267
2401,2499,ODD,,,,,,,MICHELLE,DR,,,GREEN LEVEL,NC,27217,9100137,710012837,99100110268
